	DS0F1s_1	DS0F1s_2	DS0F1s_3	DS0F1s_4	DS0F2s_2	DS0F2s_3	DS0F2s_4	DS1F1s_1	DS1F1s_2	DS1F1s_3	DS1F1s_4	DS1F2s_1	DS1F2s_2	DS1F2s_3	DS1F2s_4
DS0F1s_1	0.0	0.15750036046931654	0.13610376992288706	0.10477224118680475	0.1460118848213823	0.12179502366639004	0.16835460438466943	0.1397831900300691	0.09782688361751403	0.14914985299244995	0.1798226783582739	0.1280894746912606	0.13380340714276487	0.16199066275034843	0.15358738641760533
DS0F1s_2	0.15750036046931654	0.0	0.10389845187149101	0.1499461934305644	0.08270649560969506	0.13957901541362622	0.09601333479553387	0.15772478801365183	0.13847440659913965	0.0909533978894424	0.13250733568534048	0.17593153180110951	0.1548613429047685	0.09196044310358863	0.12787937248193584
DS0F1s_3	0.13610376992288706	0.10389845187149101	0.0	0.16122167435083154	0.10665403968320236	0.13101801970586752	0.14226188456487807	0.17308749890062097	0.1344585277484591	0.11069296727398349	0.16072900870307388	0.17389302806087586	0.11794015191194429	0.1351722755027469	0.14870936246779906
DS0F1s_4	0.10477224118680475	0.1499461934305644	0.16122167435083154	0.0	0.1582561577814374	0.14877720113017212	0.16508040038253918	0.1460572648372682	0.08541964522884529	0.15784080689646857	0.17330197578786946	0.1015749960947861	0.168881812926126	0.15900205666926026	0.15401846259844332
DS0F2s_2	0.1460118848213823	0.08270649560969506	0.10665403968320236	0.1582561577814374	0.0	0.1442996231048834	0.11621296833850342	0.14307881140445455	0.13661933085022882	0.09137497392881927	0.15526225488611217	0.18048100014225735	0.15471140909570352	0.11772133753481827	0.1399039771927359
DS0F2s_3	0.12179502366639004	0.13957901541362622	0.13101801970586752	0.14877720113017212	0.1442996231048834	0.0	0.13429621292990906	0.14141655104920078	0.127376105524877	0.13532077109519738	0.13558837620680797	0.1538833101608596	0.14723106774664232	0.14277907949885132	0.11498556335897846
DS0F2s_4	0.16835460438466943	0.09601333479553387	0.14226188456487807	0.16508040038253918	0.11621296833850342	0.13429621292990906	0.0	0.14628600922906584	0.15542284200917647	0.1082500875652307	0.11923354690702154	0.18216725868870506	0.1805574178280366	0.10396670835287158	0.11993225627437094
DS1F1s_1	0.1397831900300691	0.15772478801365183	0.17308749890062097	0.1460572648372682	0.14307881140445455	0.14141655104920078	0.14628600922906584	0.0	0.13952793202916358	0.13909537323653154	0.1378872046241633	0.15750128569891403	0.1830111590667919	0.15820814572967212	0.1198006278544449
DS1F1s_2	0.09782688361751403	0.13847440659913965	0.1344585277484591	0.08541964522884529	0.13661933085022882	0.127376105524877	0.15542284200917647	0.13952793202916358	0.0	0.13609897142116964	0.16135381558881104	0.09936233759335503	0.14242389387926077	0.15342151809567373	0.1395112928781916
DS1F1s_3	0.14914985299244995	0.0909533978894424	0.11069296727398349	0.15784080689646857	0.09137497392881927	0.13532077109519738	0.1082500875652307	0.13909537323653154	0.13609897142116964	0.0	0.1213954779585721	0.18218224254858414	0.16284272368727903	0.10846424505622577	0.11664108906225906
DS1F1s_4	0.1798226783582739	0.13250733568534048	0.16072900870307388	0.17330197578786946	0.15526225488611217	0.13558837620680797	0.11923354690702154	0.1378872046241633	0.16135381558881104	0.1213954779585721	0.0	0.18375642272464965	0.17645324905468324	0.14381281750914965	0.09273427663279425
DS1F2s_1	0.1280894746912606	0.17593153180110951	0.17389302806087586	0.1015749960947861	0.18048100014225735	0.1538833101608596	0.18216725868870506	0.15750128569891403	0.09936233759335503	0.18218224254858414	0.18375642272464965	0.0	0.16258843036323734	0.17982324663709928	0.16327634267689825
DS1F2s_2	0.13380340714276487	0.1548613429047685	0.11794015191194429	0.168881812926126	0.15471140909570352	0.14723106774664232	0.1805574178280366	0.1830111590667919	0.14242389387926077	0.16284272368727903	0.17645324905468324	0.16258843036323734	0.0	0.16812410252061047	0.15110724979192391
DS1F2s_3	0.16199066275034843	0.09196044310358863	0.1351722755027469	0.15900205666926026	0.11772133753481827	0.14277907949885132	0.10396670835287158	0.15820814572967212	0.15342151809567373	0.10846424505622577	0.14381281750914965	0.17982324663709928	0.16812410252061047	0.0	0.12700497124978405
DS1F2s_4	0.15358738641760533	0.12787937248193584	0.14870936246779906	0.15401846259844332	0.1399039771927359	0.11498556335897846	0.11993225627437094	0.1198006278544449	0.1395112928781916	0.11664108906225906	0.09273427663279425	0.16327634267689825	0.15110724979192391	0.12700497124978405	0.0
