ID,OTU_13695,OTU_15532,OTU_12516,OTU_10301,OTU_1170,OTU_13733,OTU_6269,OTU_11818,OTU_1743,OTU_2424,OTU_800,OTU_282,OTU_10200,OTU_4759,OTU_2319,OTU_7831,OTU_9217
BS0F1s_1,0.003203262,0.002795574,0.003086779,0.000174723,0.001164822,0.002154921,0.000407688,0.000407688,0.002504368,0,5.82E-05,0.001164822,0.005358183,0.000757135,5.82E-05,0.001747234,0.00366919
BS0F1s_2,0.000349447,0.000757135,0.001223063,0,0.001106581,0.000698893,0.001106581,0,0.000465929,0.000174723,5.82E-05,0.001106581,0.009726267,5.82E-05,0.000232964,0.000291206,0.00209668
BS0F1s_3,0.001106581,0.00052417,0.001688992,0,0,0.000582411,5.82E-05,0,0.001397787,0.000174723,5.82E-05,0.001456028,0.005299942,0,0.000174723,0.000116482,0.001863716
BS0F1s_4,0.000116482,0.000640652,0.000873617,0,0.000174723,0,0.000174723,0,0.000174723,0.000291206,0.000174723,0.001805475,0.007454863,0,0.000291206,0.000116482,0.000990099
BS0F2s_1,0.001805475,0.002213162,0.002446127,0.000232964,0.002504368,0.001281305,0.002271404,0,0.001281305,0.000116482,0,0.001281305,0.007629586,0.00052417,0,0.00052417,0.002795574
BS0F2s_2,0.000698893,0.000465929,0.00209668,0,0.000291206,0.000291206,0.000116482,5.82E-05,0.001164822,0.000174723,0,0.001339546,0.009085614,0,0,0.000232964,0.001805475
BS0F2s_3,0.000582411,0.000349447,0.00052417,0,0.000407688,0.000116482,0.000116482,0,0,0.000116482,0,0.001688992,0.007571345,0.000174723,0.000116482,0,0.001106581
BS0F2s_4,0.000640652,0.000640652,0.001223063,0,0.000698893,0.000174723,0.000640652,0,0.000349447,5.82E-05,0.000349447,0.001164822,0.006988934,0,0.000116482,0,0.00209668
BS1F1s_1,0.000931858,0.000873617,0.00209668,5.82E-05,0.00052417,0.000757135,0.000582411,0.000349447,0.000990099,5.82E-05,5.82E-05,0.000931858,0.004775772,0,0.000116482,0.000291206,0.002562609
BS1F1s_2,0.003436226,0.001397787,0.003902155,0.000291206,0.002271404,0.002446127,0.002271404,0.000407688,0.001164822,0,0,0.001397787,0.006697729,0.00052417,0,0.001164822,0.002737333
BS1F1s_3,0.00052417,5.82E-05,0.000465929,0,0.000232964,5.82E-05,0.000232964,0,0.000174723,0.000291206,0,0.00262085,0.009260338,0,0.000640652,5.82E-05,0.000931858
BS1F1s_4,0.000291206,0.00052417,0.001223063,0,0.000174723,5.82E-05,0.000174723,0,0.000116482,0.000174723,0.000116482,0.001514269,0.006930693,0,0.000465929,5.82E-05,0.001514269
BS1F2s_1,0.001630751,0.000931858,0.001339546,0.000174723,0.002679091,0.000873617,0.00728014,0,0.000757135,0.000116482,0,0.001223063,0.004076878,0.000174723,0,0.000291206,0.002737333
BS1F2s_2,0.001397787,0.000640652,0.001281305,0.000174723,0.000931858,0.000407688,0.000174723,0.000232964,0.001164822,5.82E-05,0,0.001514269,0.007396622,0.000174723,0.000116482,0,0.002329645
BS1F2s_3,0.000465929,0.000116482,0.001164822,0,0.000174723,0.000116482,0.000757135,0,0.00052417,0.000349447,0,0.001281305,0.005765871,0,5.82E-05,0,0.001456028
BS1F2s_4,0.001281305,0.001339546,0.001921957,0.000174723,0.009202097,0.002213162,0.004717531,5.82E-05,0.000291206,0.000174723,5.82E-05,0.000640652,0.005998835,0.000640652,0.000116482,0,0.00209668
DS0F1s_1,0.003436226,0.003086779,0.003552708,0.000291206,0.000873617,0.002504368,0.00366919,0.000349447,0.00157251,0,0,0.000990099,0.00518346,0.00052417,5.82E-05,0.000349447,0.005358183
DS0F1s_2,0.000757135,0.000990099,0.001281305,5.82E-05,0.001514269,0.000407688,0.000931858,0.000116482,0.000873617,5.82E-05,5.82E-05,0.00104834,0.009260338,5.82E-05,0.000116482,0.000116482,0.00157251
DS0F1s_3,0.001921957,0.000815376,0.003727432,5.82E-05,0.00052417,0.000873617,5.82E-05,0.000465929,0.001456028,0,0,0.000582411,0.006173559,0.000232964,0,0.000349447,0.003960396
DS0F1s_4,0.003028538,0.002154921,0.00209668,0.000407688,0.003843914,0.004426325,0.005649388,0.000116482,0.000407688,0.000116482,0,0.00104834,0.006406523,0.000232964,5.82E-05,0.000174723,0.00314502
DS0F2s_2,0.002446127,0.001514269,0.00209668,0.000116482,0.000640652,0.000757135,0.000990099,0.000232964,0.000873617,5.82E-05,0,0.00052417,0.009027373,0.000349447,0,0.000349447,0.004775772
DS0F2s_3,0.001339546,0.000990099,0.003086779,0.000116482,0.000174723,0.001106581,0.000698893,0.000116482,0.001456028,5.82E-05,0.000116482,0.000757135,0.00518346,0,0,0.000174723,0.002912056
DS0F2s_4,0.00052417,0.00052417,0.001164822,0,0.000174723,0.000349447,0.000232964,0,0.000465929,0.000291206,0,0.001339546,0.006523005,0,0.000174723,5.82E-05,0.001339546
DS1F1s_1,0.002038439,0.001456028,0.001514269,0.000349447,0.002154921,0.00157251,0.001339546,0.000116482,0.000815376,0,0,0.000815376,0.003436226,0.000232964,0,0.000465929,0.003902155
DS1F1s_2,0.002387886,0.001339546,0.00209668,0.000174723,0.002329645,0.001456028,0.005358183,0.000116482,0.001164822,5.82E-05,5.82E-05,0.000931858,0.006115317,0.000174723,5.82E-05,0.000232964,0.00366919
DS1F1s_3,0.000990099,0.000698893,0.001805475,5.82E-05,0.000990099,0.000291206,0.000291206,0,0.000815376,0.000116482,0,0.00104834,0.007513104,0,5.82E-05,5.82E-05,0.002387886
DS1F1s_4,0.000698893,0.000815376,0.000640652,0,0.000640652,0.000291206,0.000465929,0,0.000698893,0.000116482,0.000116482,0.001980198,0.006173559,5.82E-05,0.000116482,0,0.001980198
DS1F2s_1,0.002213162,0.001514269,0.002562609,0.000407688,0.011415259,0.002154921,0.006173559,0.000232964,0.000582411,0,0,0.000990099,0.004775772,0.000698893,0,0.000407688,0.004018637
DS1F2s_2,0.003610949,0.001747234,0.003610949,0.000698893,0.001281305,0.001747234,0.001456028,0.000407688,0.001921957,0,0,0.000465929,0.005066977,0.000407688,0,0.000931858,0.004834013
DS1F2s_3,0.00052417,0.000349447,0.00104834,0,0.000174723,0.000349447,0.000698893,0,0.000407688,0.000407688,0,0.001630751,0.00780431,0,0.000116482,0,0.003727432
DS1F2s_4,0.001164822,0.000815376,0.001106581,5.82E-05,0.001980198,0.000582411,0.001980198,5.82E-05,0.00052417,0.000174723,5.82E-05,0.001747234,0.004659289,5.82E-05,0.000407688,0.000116482,0.003494467
TS0F1s_1,0.005241701,0.004834013,0.004426325,0.000465929,0.001106581,0.000931858,0.003319744,0.000291206,0.00157251,0,5.82E-05,0.000465929,0.005998835,0.000640652,0,0.00052417,0.007221899
TS0F1s_2,0.000640652,0.000232964,0.00052417,0,0.000349447,0,0.000174723,0,0.000116482,5.82E-05,0,0.001863716,0.014735003,5.82E-05,0.000116482,0,0.001863716
TS0F1s_3,0.001980198,0.001456028,0.002504368,0.000116482,0.000582411,0.000407688,0.000931858,5.82E-05,0.002387886,0,0,0.000990099,0.006988934,0.000174723,5.82E-05,0.000407688,0.005474665
TS0F1s_4,0.000582411,0.000465929,0.001456028,0,0.000116482,0.000174723,0,0,0.000757135,0,5.82E-05,0.00052417,0.008444962,0,5.82E-05,0,0.002970297
TS0F2s_1,0.007629586,0.003843914,0.005358183,0.000465929,0.003203262,0.001281305,0.002795574,0.000291206,0.00157251,0,5.82E-05,0.000757135,0.003261503,0.000582411,0,0.000582411,0.00366919
TS0F2s_2,0.006814211,0.005358183,0.004309843,0.000174723,0.011298777,0.001164822,0.007163658,5.82E-05,0.00104834,0,5.82E-05,0.000873617,0.00675597,0.000582411,0,0.000232964,0.003028538
TS0F2s_3,0.001397787,0.001397787,0.001456028,5.82E-05,0.001863716,0.000291206,0.002446127,0,0.000465929,5.82E-05,0.000116482,0.001747234,0.004601048,0,5.82E-05,0.000174723,0.001980198
TS0F2s_4,0.003028538,0.001456028,0.001514269,0,0.009842749,0.000232964,0.008677927,0,0.000465929,0.000174723,0.000116482,0.001980198,0.004659289,0,5.82E-05,0,0.003028538
TS1F1s_1,0.005474665,0.004368084,0.002679091,0.000174723,0.007454863,0.001164822,0.00675597,0.000116482,0.001456028,0,0.000116482,0.000873617,0.003610949,0.000465929,0,0.000174723,0.00262085
TS1F1s_3,0.002387886,0.00314502,0.004309843,5.82E-05,0.001805475,0.000465929,0.000291206,0,0.001397787,0,0.000174723,0.001339546,0.005474665,0,5.82E-05,0.000349447,0.00366919
TS1F1s_4,0.003436226,0.001805475,0.001397787,0,0.009435061,0.000815376,0.00728014,0,0.001456028,0,0.000116482,0.002387886,0.002853815,0,0,0,0.002446127
TS1F2s_1,0.003902155,0.003261503,0.001688992,0,0.000931858,0.000931858,0.000465929,0,0.002795574,0,0.000174723,0.00209668,0.003902155,0.000174723,0,0.000349447,0.002271404
TS1F2s_2,0.007862551,0.001747234,0.001339546,5.82E-05,0.004135119,0.00104834,0.001106581,5.82E-05,0.001514269,0,0,0.001980198,0.004135119,0.000582411,0.000116482,0.000407688,0.002446127
TS1F2s_3,0.002853815,0.003377985,0.003086779,0,0.000640652,0.001106581,0.00104834,0,0.001456028,0,0,0.002562609,0.003727432,0,0,0.000291206,0.002271404
TS1F2s_4,0.004659289,0.003086779,0.002737333,0,0.012580082,0.001339546,0.008211998,0,0.00052417,0.000116482,0,0.002038439,0.004076878,0,0,0.000291206,0.00314502
