	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
TS0F1s_1	0.0	0.21513914868013	0.2876387734182899	0.1943208907300105	0.15637202206944337	0.17823101623364443	0.2521401801066793	0.3074644172048546	0.17739603349549904	0.17070874488531318	0.17828514746014196	0.20169130349646291	0.2608575300420181	0.2598428355160767	0.31587740955109733
TS0F1s_2	0.21513914868013	0.0	0.282687371165829	0.19636419615905198	0.23909307837375082	0.19764651103995481	0.19109874075172664	0.2550363182610644	0.2694433005710736	0.21102120766999335	0.21441589592989674	0.19754498126887882	0.2924254655894187	0.20583640062858305	0.3410562486040366
TS0F1s_3	0.2876387734182899	0.282687371165829	0.0	0.2705947566558599	0.30805374992462686	0.2553188604290143	0.2928083050396369	0.28952659057154234	0.369935258634835	0.2613282409846133	0.29159813145104624	0.24872467834104092	0.4064808388126604	0.24801714723415455	0.4187910538360602
TS0F1s_4	0.1943208907300105	0.19636419615905198	0.2705947566558599	0.0	0.21889983880156727	0.20124611183434213	0.2194262846647999	0.27882137103192717	0.24263573943594674	0.1769188913717106	0.19182369532479218	0.17770356132873755	0.3024885739401387	0.22869616211979354	0.3332357074828196
TS0F2s_1	0.15637202206944337	0.23909307837375082	0.30805374992462686	0.21889983880156727	0.0	0.20207954206492781	0.26165288153600735	0.33186349613320903	0.19366611272292097	0.20989884898714614	0.20753361532439848	0.21545736252736813	0.27787386142293496	0.2733793396557751	0.3193358804020435
TS0F2s_2	0.17823101623364443	0.19764651103995481	0.2553188604290143	0.20124611183434213	0.20207954206492781	0.0	0.19252113999783615	0.24484588380588257	0.2506515557938878	0.20338765238662052	0.18439303667041698	0.17990510207492197	0.28440826655204876	0.20056009660057006	0.2717762028891929
TS0F2s_3	0.2521401801066793	0.19109874075172664	0.2928083050396369	0.2194262846647999	0.26165288153600735	0.19252113999783615	0.0	0.2605403727576667	0.30283181890233896	0.2441483391601708	0.23131659562407103	0.23584802712125788	0.3053146898512659	0.20006643323360615	0.27390944912129644
TS0F2s_4	0.3074644172048546	0.2550363182610644	0.28952659057154234	0.27882137103192717	0.33186349613320903	0.24484588380588257	0.2605403727576667	0.0	0.366026508780333	0.2710294220771958	0.285052230277517	0.23009671597334128	0.3921224697555432	0.19622158172750304	0.37534816417554534
TS1F1s_1	0.17739603349549904	0.2694433005710736	0.369935258634835	0.24263573943594674	0.19366611272292097	0.2506515557938878	0.30283181890233896	0.366026508780333	0.0	0.22799341079665902	0.23006581763658734	0.24878146390421937	0.2857376218024669	0.31250500822022265	0.36522424573351603
TS1F1s_3	0.17070874488531318	0.21102120766999335	0.2613282409846133	0.1769188913717106	0.20989884898714614	0.20338765238662052	0.2441483391601708	0.2710294220771958	0.22799341079665902	0.0	0.17317691470071608	0.16346430167912418	0.29448067858392807	0.20624043453916321	0.3569491273806952
TS1F1s_4	0.17828514746014196	0.21441589592989674	0.29159813145104624	0.19182369532479218	0.20753361532439848	0.18439303667041698	0.23131659562407103	0.285052230277517	0.23006581763658734	0.17317691470071608	0.0	0.19701843535667588	0.2947709121989511	0.22834146820378814	0.3153370014242552
TS1F2s_1	0.20169130349646291	0.19754498126887882	0.24872467834104092	0.17770356132873755	0.21545736252736813	0.17990510207492197	0.23584802712125788	0.23009671597334128	0.24878146390421937	0.16346430167912418	0.19701843535667588	0.0	0.30371289754022723	0.1686397664232455	0.3376158326319993
TS1F2s_2	0.2608575300420181	0.2924254655894187	0.4064808388126604	0.3024885739401387	0.27787386142293496	0.28440826655204876	0.3053146898512659	0.3921224697555432	0.2857376218024669	0.29448067858392807	0.2947709121989511	0.30371289754022723	0.0	0.3526150687458759	0.27776125180646954
TS1F2s_3	0.2598428355160767	0.20583640062858305	0.24801714723415455	0.22869616211979354	0.2733793396557751	0.20056009660057006	0.20006643323360615	0.19622158172750304	0.31250500822022265	0.20624043453916321	0.22834146820378814	0.1686397664232455	0.3526150687458759	0.0	0.341335257525765
TS1F2s_4	0.31587740955109733	0.3410562486040366	0.4187910538360602	0.3332357074828196	0.3193358804020435	0.2717762028891929	0.27390944912129644	0.37534816417554534	0.36522424573351603	0.3569491273806952	0.3153370014242552	0.3376158326319993	0.27776125180646954	0.341335257525765	0.0
