,FTC,Treatment,R
BS0F1s_1,BF,S0F135,1
BS0F1s_2,BF,S0F135,2
BS0F1s_3,BF,S0F135,3
BS0F1s_4,BF,S0F135,4
BS0F2s_1,BF,S0F240,1
BS0F2s_2,BF,S0F240,2
BS0F2s_3,BF,S0F240,3
BS0F2s_4,BF,S0F240,4
BS1F1s_1,BF,S100F135,1
BS1F1s_2,BF,S100F135,2
BS1F1s_3,BF,S100F135,3
BS1F1s_4,BF,S100F135,4
BS1F2s_1,BF,S100F240,1
BS1F2s_2,BF,S100F240,2
BS1F2s_3,BF,S100F240,3
BS1F2s_4,BF,S100F240,4
DS0F1s_1,DF,S0F135,1
DS0F1s_2,DF,S0F135,2
DS0F1s_3,DF,S0F135,3
DS0F1s_4,DF,S0F135,4
DS0F2s_2,DF,S0F240,2
DS0F2s_3,DF,S0F240,3
DS0F2s_4,DF,S0F240,4
DS1F1s_1,DF,S100F135,1
DS1F1s_2,DF,S100F135,2
DS1F1s_3,DF,S100F135,3
DS1F1s_4,DF,S100F135,4
DS1F2s_1,DF,S100F240,1
DS1F2s_2,DF,S100F240,2
DS1F2s_3,DF,S100F240,3
DS1F2s_4,DF,S100F240,4
TS0F1s_1,TF,S0F135,1
TS0F1s_2,TF,S0F135,2
TS0F1s_3,TF,S0F135,3
TS0F1s_4,TF,S0F135,4
TS0F2s_1,TF,S0F240,1
TS0F2s_2,TF,S0F240,2
TS0F2s_3,TF,S0F240,3
TS0F2s_4,TF,S0F240,4
TS1F1s_1,TF,S100F135,1
TS1F1s_3,TF,S100F135,3
TS1F1s_4,TF,S100F135,4
TS1F2s_1,TF,S100F240,1
TS1F2s_2,TF,S100F240,2
TS1F2s_3,TF,S100F240,3
TS1F2s_4,TF,S100F240,4
